Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_length,Min_pkts_length,Max_pkts_lenght,StDev_pkts_lenght,Label
0.028345,0.0028345,1.70E-05,0.022072,0.007145277,224.9,67,1127,326.2618069,targetOne
0.022399,0.0022399,0,0.013145,0.004158157,460,67,1274,566.3308809,targetOne
0.012698,0.0012698,0,0.005294,0.002013814,922.7,77,1274,515.9487593,targetOne
0.000464,4.64E-05,0,0.000261,8.36E-05,915,76,1274,578.045942,targetOne
0.003779,0.0003779,0,0.003459,0.001140965,794.8,76,1274,618.6445398,targetOne
0.005519,0.0005519,0,0.003825,0.001288293,1034.4,76,1274,505.1211516,targetOne
0.000913,9.13E-05,0,0.000577,0.000185633,794.8,76,1274,618.6445398,targetOne
0.000129,1.29E-05,0,4.20E-05,1.68E-05,914.6,76,1274,578.6889781,targetOne
0.003129,0.0003129,0,0.00114,0.000472808,641.7,76,1274,601.5332354,targetOne
0.001988,0.0001988,0,0.000858,0.000336508,795.3,76,1274,618.0007282,targetOne
0.001552,0.0001552,0,0.001381,0.000456723,1154.2,76,1274,378.8408637,targetOne
0.000596,5.96E-05,0,0.000219,7.08E-05,675,76,1274,631.4014395,targetOne
0.000183,1.83E-05,0,6.70E-05,2.28E-05,914.6,76,1274,578.6889781,targetOne
0.000821,8.21E-05,0,0.00055,0.000176665,794.8,76,1274,618.6445398,targetOne
0.001087,0.0001087,0,0.000862,0.000279015,914.6,76,1274,578.6889781,targetOne
0.002281,0.0002281,0,0.001988,0.000650881,795.3,76,1274,618.0007282,targetOne
0.001591,0.0001591,0,0.001317,0.000432142,1034.4,76,1274,505.1211516,targetOne
0.00254,0.000254,0,0.000966,0.00040407,1154.2,76,1274,378.8408637,targetOne
0.000309,3.09E-05,0,0.000145,5.50E-05,1274,1274,1274,0,targetOne
0.00032,3.20E-05,0,8.30E-05,3.09E-05,1034.4,76,1274,505.1211516,targetOne
0.002884,0.0002884,0,0.001797,0.000625276,1154.2,76,1274,378.8408637,targetOne
0.000121,1.21E-05,0,0.000121,4.03E-05,1274,1274,1274,0,targetOne
0,0,0,0,0,1274,1274,1274,0,targetOne
0.000786,7.86E-05,0,0.000273,0.000105509,914.9,77,1274,578.2059322,targetOne
0.001909,0.0001909,0,0.001525,0.00049688,1154.4,78,1274,378.2084082,targetOne
0,0,0,0,0,1274,1274,1274,0,targetOne
0.00017,1.70E-05,0,0.00017,5.67E-05,1154.3,77,1274,378.5246359,targetOne
0.001469,0.0001469,0,0.000957,0.00030995,1034.6,77,1274,504.6995146,targetOne
0.001222,0.0001222,0,0.000501,0.000207697,975.6,77,1274,506.3868087,targetOne
0.049576,0.0049576,3.00E-05,0.026183,0.009596319,348.9,67,1274,493.0135112,targetOne
0.01668,0.001668,0,0.009362,0.00326198,688.9,67,1274,617.6569436,targetOne
0.003133,0.0003133,0,0.001587,0.000620676,1154.3,77,1274,378.5246359,targetOne
0.000263,2.63E-05,0,7.10E-05,2.84E-05,1154.2,76,1274,378.8408637,targetOne
0.000283,2.83E-05,0,0.000106,3.30E-05,1154.2,76,1274,378.8408637,targetOne
0.000391,3.91E-05,0,0.000109,3.77E-05,1154.2,76,1274,378.8408637,targetOne
0.001403,0.0001403,0,0.000827,0.000284977,1154.2,76,1274,378.8408637,targetOne
0.000283,2.83E-05,0,9.00E-05,3.93E-05,1274,1274,1274,0,targetOne
0.103946,0.0103946,0,0.039531,0.016192409,162.7,76,506,145.2132914,targetOne
0.03501,0.003501,5.10E-05,0.019492,0.006211975,370.9,54,1292,507.8953195,targetOne
0.014538,0.0014538,2.00E-05,0.00585,0.001946043,514.7,60,1292,543.9260673,targetOne
0.007506,0.0007506,0,0.004533,0.001454014,818.2,80,1274,589.7809009,targetOne
0.000825,8.25E-05,0,0.000672,0.000218338,1154.2,76,1274,378.8408637,targetOne
0.000425,4.25E-05,0,0.000183,6.32E-05,1154.2,76,1274,378.8408637,targetOne
0.000164,1.64E-05,0,5.00E-05,2.02E-05,1154.2,76,1274,378.8408637,targetOne
0.001263,0.0001263,0,0.001123,0.000368816,1274,1274,1274,0,targetOne
0.000265,2.65E-05,0,8.50E-05,3.15E-05,1154.2,76,1274,378.8408637,targetOne
0.001702,0.0001702,0,0.000944,0.000346236,968.6,76,1288,515.1533105,targetOne
0.0015,0.00015,0,0.001236,0.000401728,1037,77,1274,499.6718923,targetOne
0,0,0,0,0,1274,1274,1274,0,targetOne
0.000217,2.17E-05,0,0.000151,5.24E-05,1034.6,77,1274,504.6995146,targetOne
0.000285,2.85E-05,0,8.30E-05,3.61E-05,1154.3,77,1274,378.5246359,targetOne
0.000214,2.14E-05,0,7.40E-05,2.86E-05,1154.3,77,1274,378.5246359,targetOne
0.006977,0.0006977,0,0.002165,0.000919357,364.9,77,1286,495.4182184,targetOne
0.034207,0.0034207,4.50E-05,0.014271,0.00447525,245.8,54,1285,373.0343446,targetOne
0.004106,0.0004106,7.30E-05,0.003073,0.000982116,416.6,80,571,125.4929834,targetOne
0.013028,0.0013028,7.00E-05,0.005869,0.001964924,181.8,60,443,152.0181276,targetOne
0.00219,0.000219,0,0.001052,0.000360391,1034.9,77,1274,504.067555,targetOne
0.001502,0.0001502,0,0.000982,0.000323038,912.5,54,1274,582.1025587,targetOne
0.014151,0.0014151,4.00E-05,0.005811,0.00197599,526.6,77,1287,522.1664698,targetOne
0.018029,0.0018029,3.40E-05,0.005844,0.002030208,162.7,54,634,201.208046,targetOne
0.009149,0.0009149,0,0.007184,0.002340219,108.2,54,224,55.92614177,targetOne
0.009943,0.0009943,0,0.006241,0.00202204,600.8,77,1292,597.4155077,targetOne
0.000191,1.91E-05,1.60E-05,5.20E-05,1.17E-05,1103.6,344,1292,397.1921449,targetOne
0.004881,0.0004881,3.80E-05,0.003033,0.000942799,308,90,379,80.79603951,targetOne
0.02571,0.002571,5.60E-05,0.015025,0.005040287,76.2,54,116,20.81559245,targetOne
0.021167,0.0021167,0,0.012063,0.004061675,123.7,54,383,98.75902209,targetOne
0.020994,0.0020994,1.80E-05,0.011284,0.003602893,103.5,54,288,68.04777733,targetOne
0.004438,0.0004438,2.30E-05,0.001778,0.000552806,172.3,54,725,202.836579,targetOne
0.016262,0.0016262,3.40E-05,0.011527,0.003694145,78.3,54,99,17.34646938,targetOne
0.028518,0.0028518,6.50E-05,0.016116,0.005125604,77.5,54,99,16.82095254,targetOne
0.037633,0.0037633,2.90E-05,0.018868,0.006524817,82.4,54,99,20.1395134,targetOne
0.023692,0.0023692,9.30E-05,0.011879,0.003784528,179.7,60,630,203.3628667,targetOne
0.144985,0.0144985,6.20E-05,0.09689,0.031340308,430.6,60,1288,578.3774623,targetOne
0.001326,0.0001326,0,0.001093,0.000358739,1170.6,78,1292,383.9005079,targetOne
0.118389,0.0118389,0,0.037826,0.015456003,379.4,68,1292,490.3047125,targetOne
0.431507,0.0431507,0,0.357299,0.11646391,217.9,73,1292,379.8044672,targetOne
0.010287,0.0010287,0,0.008679,0.002831768,444.9,67,1292,506.6193947,targetOne
0.104856,0.0104856,0,0.072596,0.024323143,760.2,75,1292,593.80427,targetOne
0.001108,0.0001108,0,0.000979,0.000321569,814.7,75,1292,615.7947079,targetOne
0.000849,8.49E-05,0,0.000535,0.000168736,805.2,75,1292,628.4560976,targetOne
0.001671,0.0001671,0,0.001174,0.00038586,805.2,75,1292,628.4560976,targetOne
0.001396,0.0001396,0,0.00092,0.000305153,926.9,75,1292,587.86685,targetOne
0.000646,6.46E-05,0,0.000486,0.000157826,889.1,75,1292,571.3373104,targetOne
0.124566,0.0124566,4.80E-05,0.098559,0.031905696,352,67,1292,499.559139,targetOne
0.032146,0.0032146,7.30E-05,0.023323,0.007516499,269.5,71,1096,372.5143547,targetOne
0.001036,0.0001036,0,0.000717,0.000230212,926.7,75,1292,587.2703428,targetOne
0.001138,0.0001138,0,0.000837,0.000268717,875.4,75,1292,561.9842228,targetOne
0.119055,0.0119055,3.30E-05,0.087149,0.028666699,189.7,67,709,234.2387434,targetOne
0.000149,1.49E-05,1.40E-05,2.40E-05,2.92E-06,1291.4,1286,1292,1.897366596,targetOne
0.952406,0.0952406,8.60E-05,0.877626,0.289583787,314.9,76,1226,449.6241517,targetOne
0.067995,0.0067995,1.70E-05,0.042212,0.01435827,643,77,1292,582.4828085,targetOne
1.079331,0.1079331,0.00011,0.781614,0.253008104,120,54,369,94.63497122,targetOne
0.250213,0.0250213,0,0.24127,0.080074635,123.5,54,671,192.644895,targetOne
0.003608,0.0003608,0,0.001364,0.000434789,444.4,69,1292,507.7887137,targetOne
0.002551,0.0002551,0.000109,0.000752,0.000245121,268.8,169,872,212.5991533,targetOne
0.004951,0.0004951,0,0.003378,0.001084789,517,75,1292,495.2447207,targetOne
0.001001,0.0001001,0,0.000252,9.20E-05,80.4,69,120,17.6899218,targetOne
0.001769,0.0001769,0,0.000555,0.000187204,476.1,69,1292,573.5880151,targetOne
0.000238,2.38E-05,0,8.10E-05,3.31E-05,1048.8,75,1292,512.7108347,targetOne
0.003146,0.0003146,-1.00E-06,0.001846,0.000640723,573.8,67,1292,618.5637127,targetOne
0.001911,0.0001911,0,0.001642,0.000536637,805.4,75,1292,628.1981641,targetOne
0.003206,0.0003206,0,0.002883,0.000947882,813.9,75,1292,617.7351914,targetOne
0.000397,3.97E-05,0,0.000144,4.28E-05,926.9,75,1292,587.86685,targetOne
0.000218,2.18E-05,0,9.50E-05,3.05E-05,691.3,67,1292,632.9042494,targetOne
0.001435,0.0001435,0,0.000982,0.000314997,696.9,67,1292,628.7126971,targetOne
0.000218,2.18E-05,0,5.50E-05,2.23E-05,805.2,75,1292,628.4560976,targetOne
0.000391,3.91E-05,0,0.00015,4.64E-05,805.1,75,1292,627.7263116,targetOne
0.002317,0.0002317,0,0.001832,0.000596812,1048.6,75,1292,513.132255,targetOne
0.000933,9.33E-05,0,0.000644,0.000206089,805.2,75,1292,628.4560976,targetOne
0.000751,7.51E-05,0,0.000609,0.000198939,927.3,75,1292,587.223798,targetOne
0.001172,0.0001172,0,0.001047,0.000344401,1048.6,75,1292,513.132255,targetOne
0.003939,0.0003939,0,0.00286,0.000923739,617.2,75,1292,604.7463748,targetOne
0.001221,0.0001221,0,0.000947,0.000306391,1170.3,75,1292,384.8491912,targetOne
0.000318,3.18E-05,0,8.40E-05,4.13E-05,1170.3,75,1292,384.8491912,targetOne
0.002778,0.0002778,0,0.002391,0.000781959,1170.8,80,1292,383.2680524,targetOne
0.000209,2.09E-05,0,0.000173,5.74E-05,1292,1292,1292,0,targetOne
0,0,0,0,0,1225.1,627,1292,210.1546785,targetOne
0,0,0,0,0,1279.2,1171,1292,38.08119979,targetOne
0.000249,2.49E-05,0,0.000174,6.02E-05,922.5,75,1292,516.1929549,targetOne
0.00066,6.60E-05,0,0.000281,8.78E-05,682.9,67,1292,641.2128179,targetOne
0.000937,9.37E-05,0,0.000688,0.000222226,1048.8,75,1292,512.7108347,targetOne
0.002903,0.0002903,0,0.001378,0.000448143,1048.7,75,1292,512.9214906,targetOne
0.000311,3.11E-05,0,8.10E-05,3.10E-05,1120.4,75,1292,398.4325399,targetOne
0.00082,8.20E-05,0,0.000493,0.00015457,1170.3,75,1292,384.8491912,targetOne
0.000293,2.93E-05,0,8.10E-05,3.88E-05,1292,1292,1292,0,targetOne
0.001769,0.0001769,0,0.000893,0.000299817,950.6,67,1292,553.871064,targetOne
0.001036,0.0001036,0,0.000473,0.000165075,1170.6,78,1292,383.9005079,targetOne
0.137777,0.0137777,1.70E-05,0.102595,0.033078155,111.5,67,242,67.82534761,targetOne
3.595206,0.3595206,0.003444,0.515068,0.218500996,60,60,60,0,targetTwo
4.62403,0.462403,0.504956,0.525544,0.005812991,60,60,60,0,targetTwo
2.778657,0.2778657,0.000284,0.673659,0.285203707,60,60,60,0,targetTwo
4.738369,0.4738369,0.448052,0.598104,0.049065123,60,60,60,0,targetTwo
3.940955,0.3940955,0.024735,0.795293,0.249160531,60,60,60,0,targetTwo
5.258854,0.5258854,0.503849,1.05299,0.177667509,60,60,60,0,targetTwo
3.736151,0.3736151,0.019759,0.596452,0.225340184,60,60,60,0,targetTwo
4.18504,0.418504,0.005524,0.55742,0.173455417,60,60,60,0,targetTwo
3.67801,0.367801,0.006484,0.583961,0.224809144,60,60,60,0,targetTwo
3.092892,0.3092892,0.005009,0.522093,0.252054473,60,60,60,0,targetTwo
4.192439,0.4192439,0.034393,0.554251,0.163135299,60,60,60,0,targetTwo
4.552286,0.4552286,0.010783,0.949485,0.235374218,60,60,60,0,targetTwo
4.422521,0.4422521,0.006925,0.643146,0.186858073,60,60,60,0,targetTwo
3.8856,0.38856,0.003234,0.67486,0.247666029,60,60,60,0,targetTwo
4.807079,0.4807079,0.000396,0.916076,0.245440603,60,60,60,0,targetTwo
4.530957,0.4530957,0.020134,0.630976,0.18489676,60,60,60,0,targetTwo
3.133768,0.3133768,0.002477,0.567495,0.25839318,60,60,60,0,targetTwo
3.814712,0.3814712,0.006203,0.653341,0.241701571,60,60,60,0,targetTwo
3.639643,0.3639643,0.00866,0.54476,0.222433418,60,60,60,0,targetTwo
4.456483,0.4456483,0.005093,0.687902,0.191435937,60,60,60,0,targetTwo
3.812713,0.3812713,0.013693,0.591016,0.234504398,60,60,60,0,targetTwo
2.621054,0.2621054,0.002452,0.552861,0.271374647,60,60,60,0,targetTwo
3.619529,0.3619529,0.009401,0.593902,0.226163997,60,60,60,0,targetTwo
3.679168,0.3679168,0.004031,0.566957,0.22287775,60,60,60,0,targetTwo
4.192201,0.4192201,0.013928,0.55772,0.170573793,60,60,60,0,targetTwo
3.732634,0.3732634,0.007303,0.620026,0.229900789,60,60,60,0,targetTwo
2.56095,0.256095,0.003291,0.507957,0.259835929,60,60,60,0,targetTwo
3.209578,0.3209578,0.00345,0.584789,0.259793356,60,60,60,0,targetTwo
2.579647,0.2579647,0.00583,0.511536,0.261572118,60,60,60,0,targetTwo
3.098403,0.3098403,0.006476,0.520259,0.247055476,60,60,60,0,targetTwo
